"Disease","Fiscal Year","Gender","Age Group","Population","Incidence","Prevalence","Mortality with Disease","Mortality without Disease","Hospitalization with Disease: Person Count","Hospitalization with Disease: Separation Count","Hospitalization with Disease: Days Stay","Hospitalization without Disease: Person Count","Hospitalization without Disease: Separation Count","Hospitalization without Disease: Days Stay","Physician Visit with Disease: Person Count","Physician Visit with Disease: Visit Count","Physician Visit without Disease: Person Count","Physician Visit without Disease: Visit Count","General Physician Visit with Disease: Person Count","General Physician Visit with Disease: Visit Count","General Physician Visit without Disease: Person Count","General Physician Visit without Disease: Visit Count","Specialist Visit with Disease: Person Count","Specialist Visit with Disease: Visit Count","Specialist Visit without Disease: Person Count","Specialist Visit without Disease: Visit Count"
Diabetes,1999,F,1 to 4,651470,150,340,0,220,150,230,1100,28200,35850,123450,330,4680,585020,3987800,310,1980,525230,2702280,310,2700,308870,1283090
Diabetes,1999,F,5 to 9,918920,280,1230,0,110,280,400,1540,17720,21410,59740,1190,11680,736450,3354790,1010,4730,656010,2289630,1060,6960,347430,1063050
Diabetes,1999,F,10 to 14,910710,390,2250,0,100,480,730,3450,14950,19100,80200,2190,23340,663000,2724440,1800,8520,598570,1869940,2000,14790,297700,853020
Diabetes,1999,F,15 to 19,918890,480,3360,10,280,680,1210,6200,39890,51930,207240,3260,40100,750280,4341460,2950,19600,713040,3168690,2810,20430,351310,1170460
Diabetes,1999,F,20 to 24,913070,700,4570,10,310,890,1550,8270,77640,98940,326540,4400,60370,778200,5717940,4200,33770,751750,4117110,3500,26590,408480,1597900
Diabetes,1999,F,25 to 29,947240,1270,7000,20,330,1420,2340,12590,118560,144520,472930,6780,104350,806450,6874050,6510,57860,774310,4592370,5400,46490,477330,2278960
Diabetes,1999,F,30 to 34,1058660,1990,10700,30,430,2080,3300,18280,127230,152500,522120,10380,166910,894440,7866340,10000,92550,854420,5041950,8300,74300,551920,2821910
Diabetes,1999,F,35 to 39,1250620,3080,17200,80,790,2760,4550,29550,93470,115300,489340,16690,262440,1042090,8594020,16100,151150,994770,5535600,13090,111240,636080,3055700
Diabetes,1999,F,40 to 44,1202800,4290,24120,110,1260,3410,5740,43030,60790,78500,412890,23450,368830,993760,8073950,22690,221090,945150,5175660,18320,147540,629980,2896190
Diabetes,1999,F,45 to 49,1068500,5660,33080,200,1600,4600,7590,60700,51910,68080,405670,32310,521150,887140,7687540,31340,310820,841230,4797040,25790,210200,599600,2888780
Diabetes,1999,F,50 to 54,940540,7100,45360,400,2160,6370,10460,84400,49490,66100,407010,44520,734040,791070,7539320,43220,430900,749540,4546580,36500,302980,580670,2991430
Diabetes,1999,F,55 to 59,719670,7260,49780,620,2580,7700,12980,119020,42230,57650,380010,48860,833170,598190,5993050,47460,479230,566820,3543670,40710,353690,450370,2448230
Diabetes,1999,F,60 to 64,594440,7570,56620,950,3190,9530,16060,148630,40300,56750,406280,55590,968590,482960,5179290,53960,555230,458510,3035830,46490,413160,370240,2142200
Diabetes,1999,F,65 to 69,556600,8120,66130,1660,4610,12840,22010,219070,46160,66480,528480,65010,1206800,446100,5297120,63000,677060,424400,3074270,55070,529490,348900,2222050
Diabetes,1999,F,70 to 74,514330,8050,70780,2570,6890,16220,27710,298370,53030,78110,688610,69480,1367930,408430,5376860,67410,776350,389500,3122940,59080,591520,321740,2253330
Diabetes,1999,F,75 to 79,448370,7270,64550,3650,10020,17640,30300,355310,59170,88680,928740,63390,1333980,356670,5307940,61640,783910,340940,3151600,53720,549950,284340,2155940
Diabetes,1999,F,80 to 84,298460,4640,41640,3690,12020,13440,23010,297410,50320,76050,898460,40660,894320,239690,3855840,39600,562180,229670,2439270,33650,332030,187290,1416340
Diabetes,1999,F,85+,294630,4180,34280,5670,29840,12500,20400,294610,61190,90810,1295670,33160,766630,238160,4183820,32310,530940,229080,2990820,25320,235650,168640,1192590
Diabetes,1999,M,1 to 4,680830,200,440,0,300,170,270,1930,38250,49090,160200,430,6750,617240,4595800,380,2510,555880,3021030,400,4240,353610,1571920
Diabetes,1999,M,5 to 9,964770,280,1420,0,130,340,470,1870,23090,27900,83150,1380,13910,778630,3757380,1170,5690,687600,2422450,1230,8220,404750,1332960
Diabetes,1999,M,10 to 14,956110,410,2350,0,200,500,740,3300,18280,22460,84080,2280,23200,693050,2931570,1880,8030,616830,1888230,2050,15170,340540,1041880
Diabetes,1999,M,15 to 19,968450,480,3570,10,580,610,890,3800,23350,29560,149310,3400,29610,677190,2925530,2900,13150,627250,1978150,2850,16460,304910,946080
Diabetes,1999,M,20 to 24,937610,570,4230,10,790,540,850,4850,22400,28550,180340,3840,33740,608160,2736130,3510,18150,578160,1936240,2730,15570,252370,798530
Diabetes,1999,M,25 to 29,952890,970,5850,20,730,760,1220,7920,22000,28500,167570,5360,54310,603840,2935600,5000,29890,573320,2046890,3840,24420,266930,887270
